prompt_with_emotion,response_with_emotion
"1, sad","['I use to be the number one tennis player in the state., nostalgic', 'That is an awesome achievement! Was it for high school or college?, excited', 'It was in high school., nostalgic', 'I never played any sports in high school_comma_ I always had to work. That is a great accomplishment!, prepared']"
"A couple years ago someone tried to steal my phone cause they thought I wasnt looking_comma_ was super annoying., angry","['A couple years back a stranger tried to take my phone., embarrased', 'Interesting! Did you apprehend him?, caring', 'No I just secured my phone and walked off_comma_ I was supper annoyed., caring', 'I could imagine the experience. That was a wise thing you did!, confident']"
"A few years ago when my grandmother died unexpectedly., sad","['My grandmother passed away unexpectedly a few years ago., proud', ""oh no sorry to hear that. I just lost mine in November. It's hard., joyful"", 'Yes it is. She was the grandparent I was closest to., caring', ""People say it gets easier. I'm still waiting for that part., terrified"", 'Yes_comma_ I believe that time is the best way to heal., faithful', 'I hope so. Nice chatting with you., afraid', 'You as well. Have a great day., ashamed']"
"A few years ago_comma_ my marriage broke up_comma_ and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude_comma_ it took a while to get used to it., lonely","['I found myself divorced a few years ago_comma_ and for the first time in my life_comma_ I was living alone., caring', 'I felt sad and depressed due to my insecurities and felt rejected from society, caring', 'Yes_comma_ I felt that way for a while. But then I grew used to the solitude., impressed', ""The problem is I don't think you can grew out of my specific insecurity., prepared""]"
"A friend of mine recently got married. I hadn't even know he was engaged!, surprised","[""My friend recently invited me to his wedding. I hadn't even known he was engaged_comma_ but it was a great wedding., caring"", ""That's fun_comma_ my friend is getting married next year_comma_ how big was the wedding?, caring"", 'Not too big_comma_ maybe 30 guests. He and his now wife have been together for only a year or so_comma_ so they set the whole thing up pretty quickly., caring', ""Oh I see_comma_ well that's still nice!, faithful""]"
"A guy almost crashed into me a week ago. It was really frustrating because he ran a redlight, angry","['Man_comma_ last week I almost got into a crash because someone almost hit me., surprised', 'That is terrifying! Let me guess_comma_ they were on their phone?, joyful', 'Yep and they ran a redlight_comma_ I was super ticked off_comma_ was on my way to work., caring', 'I would have been mad_comma_ too. People on their phones drive like drunk drivers. So dangerous., excited']"
"A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared., terrified","['Job interviews always make me sweat bullets_comma_ makes me uncomfortable in general to be looked at under a microscope like that. , afraid', ""Don't be nervous. Just be prepared., prepared"", 'I feel like getting prepared and then having a curve ball thrown at you throws you off. , caring', 'Yes but if you stay calm it will be ok., caring', ""It's hard to stay clam. How do you do it? , surprised""]"
"A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me., grateful","['One time I had a flat tire and my dad came to help me fix it., surprised', 'Oh no! Glad your dad was able to help. How did it happen?, surprised', 'I ran over a nail in the road.  Now I know not to drive near new houses., faithful', ""That's some bad luck. I hope it wasn't too much of a hassle., surprised""]"
"After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his., guilty","['I was only married for 4 weeks when I learned my husband was having an affair and ongoing after the wedding. I got him back by sleeping with a close family friend. I felt guilty and ashamed because it was out of character., disgusted', 'Yeah that sounds really sad. I am sorry for what you went through. , embarrased', 'Well I choose to stay and work it out_comma_ but I never told him. It has been 3 years., guilty', 'Yeah maybe that was a good decision that you made. , embarrased', 'Well I thought I would be feel better but because I am not the cheating kind_comma_ I still feel guilty., hopeful']"
"After living in my home for 19 years_comma_ I'm remodeling my kitchen! It's so much fun to pick everything out!, excited","[""I've lived in my house for 19 years and I'm finally remodeling my kitchen!, guilty"", ""I can relate - we've been in our house 18 years and have yet to do anything.  What style are you doing it in?, caring"", ""We are picking out stainless steel appliances_comma_ white cabinets and quartz countertops. It's so much fun to pick everything out!, surprised"", 'I bet you are having a blast!!!  How long do you think the renovations will take until you are done?, surprised']"
"After my recent break up_comma_ i feel so lonely and desperate. I can't stand it anymore, lonely","['It is so hard to cope with loneliness. Especially after my break up, surprised', 'I am sorry to heard that.How long were you together., hopeful', 'For about 3 years since college. Loneliness is the worst that could happen to a human being, sentimental', 'I agree with you.I was lonely for a whole year., surprised']"
"As I've gotten older I've learned to highly value my own culture and ethnic identity.  I am First Generation Filipino and even though I've lived everywhere I still feel connected to my ancestors.  I am from Royal Blood_comma_ the Maharlika meaning ""Chosen by the most high"".  I feel like my family and I are among the last ones., proud","['I am from Royal Filipino Blood_comma_ the ""Maharlika"" meaning Chosen by the most high. Even though my country\'s been degraded for centuries by greedy colonizers I\'m still repping my royal kin so people know where I come from., lonely', 'I am a male., caring', 'Are you the one who ripped his pants, caring', 'I am Filipino also., guilty', ""Oh that's cool.  Where are you from I'm from San Pedro Laguna, terrified""]"
"As a child i was sitting in my parents car and a storm started. I was just playing my gameboy and the car started to shake. A log went right through the car window after a couple of minutes of the storm starting., terrified","['So yeah this Log even hit me square in the face and i ran out of the car., annoyed', ""Wow_comma_ it's a wounder you did not get killed!, impressed"", 'Dude the doctor and my parents thought the same thing., caring', 'Do you have any lasting damage? , nostalgic', 'Nah_comma_ I did have shards of glass on me for a couple of days even after taking showers., caring', 'I was in a accident years ago and found glass coming out of my scalp for weeks. So I know how it is., proud']"
"At work today_comma_ I got blamed for a problem that I had nothing to do with.  A report was written incorrectly_comma_ and I was blamed for the incorrect figures even though I didn't provide them., angry","[""How was work for you today?  It was long for me.  I got blamed for a report that had bad figures in it.  But I didn't provide those figures or type the report!, excited"", 'My day was pretty good. I got to work from home and pack for my trip this weekend., caring', 'That sounds fun.  Where are you going?, caring', 'I am going to Cali to see all of the national parks., caring', ""Nice!  Which ones will you be going to?  I've been to Yosemite and Sequoia.  Both are awesome., terrified"", 'I plan to go to both of those parks plus Lake Tahoe and Las Vegas. I have never been to Vegas., afraid']"
"At work_comma_ my coworker are suprised how confident I am in beeing able to achieve difficult taks., confident","['At work_comma_ my coworker are suprised how confident I am in being able to achieve difficult taks., caring', ""That's great! It's important to have confidence in yourself and your abilities at work to be successful. It's a good example to set for your coworkers too!, caring"", 'Thanks I appreciate. It is my manager that is happy, caring', ""Well_comma_ that's the most important one to make sure is happy! Good for you!, joyful""]"
"Back in October of last year I had my first drink. At that time I had never drank or tried any drugs or anything_comma_ so I was very nervous about trying anything mind altering like that., apprehensive","['I had my first real drink back in October with some of my friends and I was really nervous about it., prepared', 'Why were you nervous about it? Usually drinking means to loosen up and have fun., caring', ""It does_comma_ but I had never tried anything like drugs or alcohol before so I didn't know what to expect., sad"", 'I can see that_comma_ i had my first beer at 13 due to my brother but knew it was wrong at my age., surprised']"
"Back in freshman year of college_comma_ I really wanted to room with my brother even though he was not a freshman but a sophomore. I was really rooting for that to happen but instead I got roomed with some random guy., hopeful","[""It was really annoying when I was thinking I would room with my brother back in freshman year of college_comma_ but it didn't work out as planned., impressed"", 'It would have been easier to room with your brother isntead of a random roomate _comma_I bet., caring', ""Definitely. It was just some random guy_comma_ and he was really incompatible with me too so it was really frustrating that they didn't room us together., surprised"", 'Strange they ask you to pay for college_comma_ but offer few choices., terrified']"
"Being a male stripper was fun.  Besides walking out with at least $500 a night I was hanging around some gorgeous girls who I had initially expected to be sad_comma_ lonely old cat ladies wanting some company...but nope_comma_ most of them young college chicks in their early twenties., surprised","['I never knew what to expect at these bachelorette parties...as a male stripper I always expected some lonely old cat ladies looking for company...but almost every single time they turned out to be gorgeous chicks in their 20s, surprised', 'Wow_comma_ that is quite lucky for you! I bet you made some good tips as well!, angry', 'Yes it was all tips haha..fun times :), proud', 'What let you on your career path to be a male stripper? Did you have a role model?, terrified']"
"Buying my first home_comma_ and I'm worried about all the expenses that might happen besides the mortgage., apprehensive","[""so I'm buying my first home_comma_ and I'm worried about all the expenses that might happen besides the mortgage., caring"", 'Oh_comma_ that is exciting. How big is your house?, caring', ""It's a small 3 bedroom home_comma_ 1 level. It's just me and my elderly mom., caring"", ""Oh_comma_ that sounds nice. What's your occupation?, surprised""]"
"By mistake_comma_ I saw an image of a car accident. I was disgusted., disgusted","['By mistake_comma_ I saw an image of a car accident. I was disgusted., proud', 'Oh wow that sounds awful! was it graphic?, caring', 'Yes_comma_ the image keep coming back. Terrible., hopeful', ""I'm so sorry you had to go through that., proud""]"
"Can't wait for my vacation to Las Vegas tomorrow, excited","['In the other hand_comma_ I am excited to go to Vegas tomorrow, caring', ""Wow ! that sound's really awesome. I wish I could have gone there. But surely not for work !, faithful"", 'This is my first time going there. I want to try my luck, caring', 'I wish you all the best pal ! You will surely rock !, surprised']"
"During Hurricane Irma last year_comma_ tarps_comma_ water_comma_ batteries and other supplies sold out way ahead of the storm. I managed to gather the things we needed over the course of the next week_comma_ ahead of the storm., prepared","['Last year_comma_ we had a trying experience during Hurricane Irma_comma_ but came out OK., nostalgic', 'That must have been terrible. Were you okay?, caring', ' At first_comma_ there were no supplies. But yes_comma_ we ended up OK., caring', 'I can imagine it must have been very distressing. Glad that you were OK., terrified', 'Thanks., caring']"
"During college_comma_ I was bullied., annoyed","['During college_comma_ I was bullied., caring', 'That is terrible.  Were you able to do anything about it?, devastated', 'No_comma_ it was terrible period for me. There was sometime that could sleep a full night., prepared', 'Did you speak to a counselor_comma_ priest_comma_ or family member about it?, caring']"
"Every year I'm so excited about Christmas.  And every year I'm not able to get all the things done that I want to., disappointed","[""Every year I'm so excited about Christmas and have all these plans., caring"", 'Me too_comma_ how does Christmas in July work?, excited', ""I've seen that also_comma_ but I'm not sure.  I'm just talking regular Christmas in December LOL!  But it always seems that time slips away from me and all the traditions I want to do with my kids don't get completed., caring"", 'Maybe keep it simple_comma_ and do different things each year. Last year we went on vacation., caring']"
"Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby., sentimental","[""My kid's birthday are coming up again. It always makes me remember them as babies., surprised"", 'Awe how sweet_comma_ I bet those are good memories, surprised', 'They are. All the sights and sounds of babies are so precious to remember., faithful', 'I agree with that for sure. , caring']"
"Finally got some yard work done _comma_ Love the smell of fresh cut grass., proud","['I like getting things done in the yard_comma_but I feel so dirty afterwards., sentimental', 'I only like yard work with the kids. They do most of the work and we have fun in the dirt., caring', 'The grass makes me itchy_comma_ But the shower afterward feels great., caring', 'Oh no. The shower is the plus side to all the dirt I guess. I once found a snake digging a hole to plant a flower. I quit that day., annoyed']"
"Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion., surprised","[""Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion., disgusted"", 'Nice. Did you take it?, surprised', 'I definitely did!, impressed', 'Nice did you take it?, caring']"
"Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening., apprehensive","['Had HELLP syndrom with first child. Spent all 9 months being pregnant with 2nd child worrying about the same thing happening., surprised', ""What is HELLP? I'm sorry you and your baby had to go through that., grateful"", ""It's basically when eclampsia has progressed to the point that your blood won't clot and your organs start shutting down., disgusted"", ""That's terrible. There are so many things to be afraid of when you're pregnant!, lonely""]"
"Had a interview yesterday. I think it went pretty well. I hope I get the job., anticipating","['Had a interview yesterday. I think it went pretty well. I hope I get the job., impressed', 'Thats good. Make sure you follow up., caring', 'Thank you. I did actually. The recruiter sounded pretty positive on the phone., surprised', ""That's great. Would this be a good job?, caring""]"
"Had to wait in line forever to check out at walmart _comma_ horrible, disgusted","['I hate to be tired and see a store crowded with customers and only one or two checkouts open., caring', ""Yeah it's really frustrating when they won't have more eople on. , guilty"", ""Especially when it's a time of day that they know will be crowded and busy., embarrased"", 'Exactly. Hopefully more places will get self-checkout so we can get through the line faster. , annoyed', ""I don't mind those sometimes_comma_ sometimes I prefer they do it., jealous""]"
"Having an existential crisis and realizing I'm going to die and there's no way to know what will happen when I do, anxious","['I recently had an existential crisis. It was awful, annoyed', 'Oh no.  What happened?, lonely', ""I watched the new Avengers movie and a lot of people die. And I realized we're all going to die and there's no way to know what that's like. And then I felt sick for a couple days and couldn't stop thinking about it, caring"", 'Wow.  It had that much of an effect on you?  That it made you consider your own mortality?, angry', ""Yea. I don't know why_comma_ it was the dumbest thing. I was really upset., surprised"", ""Well it's good to remember your mortality_comma_ even if you have to ignore it to continue normal life., jealous""]"
"Hillary Clinton makes me sick., disgusted","['Hillary Clinton makes me sick., impressed', 'Why? She seems to be nice person, disgusted', 'She lies and steals money., guilty', ""Oh I didn't know about that. How she is able to steal money?, hopeful""]"
"I AM SO PROUD OF MY SON, proud","['I ma very proud of my son, faithful', 'Aw_comma_ I be so. How old is he?, caring', 'he is 18 and got accepted at MIT., hopeful', 'Wow_comma_ congratulations! That is such an accomplishment. He must be very bright, angry']"
