prompt_with_emotion,response_with_emotion
"1, fear","['It was in high school., anger']"
"1, joy","['That is an awesome achievement! Was it for high school or college?, joy']"
"1, sadness","['I use to be the number one tennis player in the state., fear', 'I never played any sports in high school_comma_ I always had to work. That is a great accomplishment!, fear']"
"A couple years ago someone tried to steal my phone cause they thought I wasnt looking_comma_ was super annoying., fear","['I could imagine the experience. That was a wise thing you did!, fear']"
"A couple years ago someone tried to steal my phone cause they thought I wasnt looking_comma_ was super annoying., joy","['A couple years back a stranger tried to take my phone., neutral', 'No I just secured my phone and walked off_comma_ I was supper annoyed., fear']"
"A couple years ago someone tried to steal my phone cause they thought I wasnt looking_comma_ was super annoying., neutral","['Interesting! Did you apprehend him?, anger']"
"A few years ago when my grandmother died unexpectedly., anger","['Yes it is. She was the grandparent I was closest to., neutral']"
"A few years ago when my grandmother died unexpectedly., fear","['Yes_comma_ I believe that time is the best way to heal., neutral', 'You as well. Have a great day., joy']"
"A few years ago when my grandmother died unexpectedly., joy","['My grandmother passed away unexpectedly a few years ago., fear']"
"A few years ago when my grandmother died unexpectedly., neutral","[""oh no sorry to hear that. I just lost mine in November. It's hard., anger"", 'I hope so. Nice chatting with you., anger']"
"A few years ago when my grandmother died unexpectedly., sadness","[""People say it gets easier. I'm still waiting for that part., sadness""]"
"A few years ago_comma_ my marriage broke up_comma_ and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude_comma_ it took a while to get used to it., fear","[""The problem is I don't think you can grew out of my specific insecurity., anger""]"
"A few years ago_comma_ my marriage broke up_comma_ and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude_comma_ it took a while to get used to it., neutral","['I found myself divorced a few years ago_comma_ and for the first time in my life_comma_ I was living alone., sadness', 'I felt sad and depressed due to my insecurities and felt rejected from society, anger']"
"A few years ago_comma_ my marriage broke up_comma_ and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude_comma_ it took a while to get used to it., sadness","['Yes_comma_ I felt that way for a while. But then I grew used to the solitude., joy']"
"A friend of mine recently got married. I hadn't even know he was engaged!, anger","['Not too big_comma_ maybe 30 guests. He and his now wife have been together for only a year or so_comma_ so they set the whole thing up pretty quickly., fear']"
"A friend of mine recently got married. I hadn't even know he was engaged!, fear","[""My friend recently invited me to his wedding. I hadn't even known he was engaged_comma_ but it was a great wedding., fear"", ""That's fun_comma_ my friend is getting married next year_comma_ how big was the wedding?, joy""]"
"A friend of mine recently got married. I hadn't even know he was engaged!, neutral","[""Oh I see_comma_ well that's still nice!, neutral""]"
"A guy almost crashed into me a week ago. It was really frustrating because he ran a redlight, fear","['I would have been mad_comma_ too. People on their phones drive like drunk drivers. So dangerous., sadness']"
"A guy almost crashed into me a week ago. It was really frustrating because he ran a redlight, neutral","['That is terrifying! Let me guess_comma_ they were on their phone?, neutral']"
"A guy almost crashed into me a week ago. It was really frustrating because he ran a redlight, sadness","['Man_comma_ last week I almost got into a crash because someone almost hit me., neutral', 'Yep and they ran a redlight_comma_ I was super ticked off_comma_ was on my way to work., joy']"
"A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared., fear","['Job interviews always make me sweat bullets_comma_ makes me uncomfortable in general to be looked at under a microscope like that. , joy', ""Don't be nervous. Just be prepared., joy"", 'I feel like getting prepared and then having a curve ball thrown at you throws you off. , sadness', 'Yes but if you stay calm it will be ok., anger', ""It's hard to stay clam. How do you do it? , anger""]"
"A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me., fear","['One time I had a flat tire and my dad came to help me fix it., sadness']"
"A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me., joy","['I ran over a nail in the road.  Now I know not to drive near new houses., anger']"
"A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me., neutral","[""That's some bad luck. I hope it wasn't too much of a hassle., fear""]"
"A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me., sadness","['Oh no! Glad your dad was able to help. How did it happen?, neutral']"
"After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his., anger","['Yeah maybe that was a good decision that you made. , joy']"
"After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his., fear","['I was only married for 4 weeks when I learned my husband was having an affair and ongoing after the wedding. I got him back by sleeping with a close family friend. I felt guilty and ashamed because it was out of character., joy', 'Yeah that sounds really sad. I am sorry for what you went through. , fear']"
"After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his., neutral","['Well I thought I would be feel better but because I am not the cheating kind_comma_ I still feel guilty., sadness']"
"After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his., sadness","['Well I choose to stay and work it out_comma_ but I never told him. It has been 3 years., fear']"
"After living in my home for 19 years_comma_ I'm remodeling my kitchen! It's so much fun to pick everything out!, fear","[""I've lived in my house for 19 years and I'm finally remodeling my kitchen!, anger""]"
"After living in my home for 19 years_comma_ I'm remodeling my kitchen! It's so much fun to pick everything out!, neutral","[""We are picking out stainless steel appliances_comma_ white cabinets and quartz countertops. It's so much fun to pick everything out!, joy"", 'I bet you are having a blast!!!  How long do you think the renovations will take until you are done?, neutral']"
"After living in my home for 19 years_comma_ I'm remodeling my kitchen! It's so much fun to pick everything out!, sadness","[""I can relate - we've been in our house 18 years and have yet to do anything.  What style are you doing it in?, sadness""]"
"After my recent break up_comma_ i feel so lonely and desperate. I can't stand it anymore, anger","['I am sorry to heard that.How long were you together., fear', 'For about 3 years since college. Loneliness is the worst that could happen to a human being, joy']"
"After my recent break up_comma_ i feel so lonely and desperate. I can't stand it anymore, fear","['It is so hard to cope with loneliness. Especially after my break up, sadness']"
"After my recent break up_comma_ i feel so lonely and desperate. I can't stand it anymore, neutral","['I agree with you.I was lonely for a whole year., anger']"
"As I've gotten older I've learned to highly value my own culture and ethnic identity.  I am First Generation Filipino and even though I've lived everywhere I still feel connected to my ancestors.  I am from Royal Blood_comma_ the Maharlika meaning ""Chosen by the most high"".  I feel like my family and I are among the last ones., anger","['I am Filipino also., sadness']"
"As I've gotten older I've learned to highly value my own culture and ethnic identity.  I am First Generation Filipino and even though I've lived everywhere I still feel connected to my ancestors.  I am from Royal Blood_comma_ the Maharlika meaning ""Chosen by the most high"".  I feel like my family and I are among the last ones., fear","['Are you the one who ripped his pants, sadness', ""Oh that's cool.  Where are you from I'm from San Pedro Laguna, sadness""]"
"As I've gotten older I've learned to highly value my own culture and ethnic identity.  I am First Generation Filipino and even though I've lived everywhere I still feel connected to my ancestors.  I am from Royal Blood_comma_ the Maharlika meaning ""Chosen by the most high"".  I feel like my family and I are among the last ones., sadness","['I am from Royal Filipino Blood_comma_ the ""Maharlika"" meaning Chosen by the most high. Even though my country\'s been degraded for centuries by greedy colonizers I\'m still repping my royal kin so people know where I come from., fear', 'I am a male., fear']"
"As a child i was sitting in my parents car and a storm started. I was just playing my gameboy and the car started to shake. A log went right through the car window after a couple of minutes of the storm starting., anger","['I was in a accident years ago and found glass coming out of my scalp for weeks. So I know how it is., fear']"
"As a child i was sitting in my parents car and a storm started. I was just playing my gameboy and the car started to shake. A log went right through the car window after a couple of minutes of the storm starting., fear","['So yeah this Log even hit me square in the face and i ran out of the car., sadness', 'Dude the doctor and my parents thought the same thing., sadness']"
"As a child i was sitting in my parents car and a storm started. I was just playing my gameboy and the car started to shake. A log went right through the car window after a couple of minutes of the storm starting., joy","['Nah_comma_ I did have shards of glass on me for a couple of days even after taking showers., joy']"
"As a child i was sitting in my parents car and a storm started. I was just playing my gameboy and the car started to shake. A log went right through the car window after a couple of minutes of the storm starting., sadness","[""Wow_comma_ it's a wounder you did not get killed!, sadness"", 'Do you have any lasting damage? , neutral']"
"At work today_comma_ I got blamed for a problem that I had nothing to do with.  A report was written incorrectly_comma_ and I was blamed for the incorrect figures even though I didn't provide them., anger","[""How was work for you today?  It was long for me.  I got blamed for a report that had bad figures in it.  But I didn't provide those figures or type the report!, anger""]"
"At work today_comma_ I got blamed for a problem that I had nothing to do with.  A report was written incorrectly_comma_ and I was blamed for the incorrect figures even though I didn't provide them., fear","['That sounds fun.  Where are you going?, anger', 'I am going to Cali to see all of the national parks., anger']"
"At work today_comma_ I got blamed for a problem that I had nothing to do with.  A report was written incorrectly_comma_ and I was blamed for the incorrect figures even though I didn't provide them., joy","['My day was pretty good. I got to work from home and pack for my trip this weekend., joy', ""Nice!  Which ones will you be going to?  I've been to Yosemite and Sequoia.  Both are awesome., anger""]"
"At work today_comma_ I got blamed for a problem that I had nothing to do with.  A report was written incorrectly_comma_ and I was blamed for the incorrect figures even though I didn't provide them., neutral","['I plan to go to both of those parks plus Lake Tahoe and Las Vegas. I have never been to Vegas., sadness']"
"At work_comma_ my coworker are suprised how confident I am in beeing able to achieve difficult taks., anger","[""Well_comma_ that's the most important one to make sure is happy! Good for you!, anger""]"
"At work_comma_ my coworker are suprised how confident I am in beeing able to achieve difficult taks., fear","[""That's great! It's important to have confidence in yourself and your abilities at work to be successful. It's a good example to set for your coworkers too!, neutral""]"
"At work_comma_ my coworker are suprised how confident I am in beeing able to achieve difficult taks., neutral","['At work_comma_ my coworker are suprised how confident I am in being able to achieve difficult taks., neutral', 'Thanks I appreciate. It is my manager that is happy, fear']"
"Back in October of last year I had my first drink. At that time I had never drank or tried any drugs or anything_comma_ so I was very nervous about trying anything mind altering like that., anger","['Why were you nervous about it? Usually drinking means to loosen up and have fun., anger']"
"Back in October of last year I had my first drink. At that time I had never drank or tried any drugs or anything_comma_ so I was very nervous about trying anything mind altering like that., joy","[""It does_comma_ but I had never tried anything like drugs or alcohol before so I didn't know what to expect., sadness"", 'I can see that_comma_ i had my first beer at 13 due to my brother but knew it was wrong at my age., anger']"
"Back in October of last year I had my first drink. At that time I had never drank or tried any drugs or anything_comma_ so I was very nervous about trying anything mind altering like that., sadness","['I had my first real drink back in October with some of my friends and I was really nervous about it., fear']"
"Back in freshman year of college_comma_ I really wanted to room with my brother even though he was not a freshman but a sophomore. I was really rooting for that to happen but instead I got roomed with some random guy., anger","['Strange they ask you to pay for college_comma_ but offer few choices., joy']"
"Back in freshman year of college_comma_ I really wanted to room with my brother even though he was not a freshman but a sophomore. I was really rooting for that to happen but instead I got roomed with some random guy., joy","['It would have been easier to room with your brother isntead of a random roomate _comma_I bet., anger', ""Definitely. It was just some random guy_comma_ and he was really incompatible with me too so it was really frustrating that they didn't room us together., joy""]"
"Back in freshman year of college_comma_ I really wanted to room with my brother even though he was not a freshman but a sophomore. I was really rooting for that to happen but instead I got roomed with some random guy., sadness","[""It was really annoying when I was thinking I would room with my brother back in freshman year of college_comma_ but it didn't work out as planned., fear""]"
"Being a male stripper was fun.  Besides walking out with at least $500 a night I was hanging around some gorgeous girls who I had initially expected to be sad_comma_ lonely old cat ladies wanting some company...but nope_comma_ most of them young college chicks in their early twenties., anger","['I never knew what to expect at these bachelorette parties...as a male stripper I always expected some lonely old cat ladies looking for company...but almost every single time they turned out to be gorgeous chicks in their 20s, neutral']"
"Being a male stripper was fun.  Besides walking out with at least $500 a night I was hanging around some gorgeous girls who I had initially expected to be sad_comma_ lonely old cat ladies wanting some company...but nope_comma_ most of them young college chicks in their early twenties., joy","['Yes it was all tips haha..fun times :), neutral']"
"Being a male stripper was fun.  Besides walking out with at least $500 a night I was hanging around some gorgeous girls who I had initially expected to be sad_comma_ lonely old cat ladies wanting some company...but nope_comma_ most of them young college chicks in their early twenties., neutral","['Wow_comma_ that is quite lucky for you! I bet you made some good tips as well!, neutral', 'What let you on your career path to be a male stripper? Did you have a role model?, joy']"
"Buying my first home_comma_ and I'm worried about all the expenses that might happen besides the mortgage., anger","[""Oh_comma_ that sounds nice. What's your occupation?, fear""]"
"Buying my first home_comma_ and I'm worried about all the expenses that might happen besides the mortgage., neutral","[""so I'm buying my first home_comma_ and I'm worried about all the expenses that might happen besides the mortgage., anger""]"
"Buying my first home_comma_ and I'm worried about all the expenses that might happen besides the mortgage., sadness","['Oh_comma_ that is exciting. How big is your house?, joy', ""It's a small 3 bedroom home_comma_ 1 level. It's just me and my elderly mom., joy""]"
"By mistake_comma_ I saw an image of a car accident. I was disgusted., anger","['Oh wow that sounds awful! was it graphic?, neutral', ""I'm so sorry you had to go through that., joy""]"
"By mistake_comma_ I saw an image of a car accident. I was disgusted., fear","['Yes_comma_ the image keep coming back. Terrible., joy']"
"By mistake_comma_ I saw an image of a car accident. I was disgusted., sadness","['By mistake_comma_ I saw an image of a car accident. I was disgusted., sadness']"
"Can't wait for my vacation to Las Vegas tomorrow, anger","['I wish you all the best pal ! You will surely rock !, fear']"
"Can't wait for my vacation to Las Vegas tomorrow, neutral","['In the other hand_comma_ I am excited to go to Vegas tomorrow, sadness', ""Wow ! that sound's really awesome. I wish I could have gone there. But surely not for work !, joy"", 'This is my first time going there. I want to try my luck, anger']"
"During Hurricane Irma last year_comma_ tarps_comma_ water_comma_ batteries and other supplies sold out way ahead of the storm. I managed to gather the things we needed over the course of the next week_comma_ ahead of the storm., fear","['Last year_comma_ we had a trying experience during Hurricane Irma_comma_ but came out OK., sadness', 'That must have been terrible. Were you okay?, sadness', 'Thanks., joy']"
"During Hurricane Irma last year_comma_ tarps_comma_ water_comma_ batteries and other supplies sold out way ahead of the storm. I managed to gather the things we needed over the course of the next week_comma_ ahead of the storm., neutral","[' At first_comma_ there were no supplies. But yes_comma_ we ended up OK., neutral', 'I can imagine it must have been very distressing. Glad that you were OK., sadness']"
"During college_comma_ I was bullied., fear","['During college_comma_ I was bullied., sadness', 'Did you speak to a counselor_comma_ priest_comma_ or family member about it?, joy']"
"During college_comma_ I was bullied., sadness","['That is terrible.  Were you able to do anything about it?, neutral', 'No_comma_ it was terrible period for me. There was sometime that could sleep a full night., anger']"
"Every year I'm so excited about Christmas.  And every year I'm not able to get all the things done that I want to., anger","['Me too_comma_ how does Christmas in July work?, joy']"
"Every year I'm so excited about Christmas.  And every year I'm not able to get all the things done that I want to., fear","[""I've seen that also_comma_ but I'm not sure.  I'm just talking regular Christmas in December LOL!  But it always seems that time slips away from me and all the traditions I want to do with my kids don't get completed., neutral"", 'Maybe keep it simple_comma_ and do different things each year. Last year we went on vacation., anger']"
"Every year I'm so excited about Christmas.  And every year I'm not able to get all the things done that I want to., neutral","[""Every year I'm so excited about Christmas and have all these plans., joy""]"
"Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby., fear","['Awe how sweet_comma_ I bet those are good memories, joy', 'I agree with that for sure. , sadness']"
"Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby., joy","['They are. All the sights and sounds of babies are so precious to remember., anger']"
"Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby., sadness","[""My kid's birthday are coming up again. It always makes me remember them as babies., joy""]"
"Finally got some yard work done _comma_ Love the smell of fresh cut grass., anger","['I only like yard work with the kids. They do most of the work and we have fun in the dirt., anger']"
"Finally got some yard work done _comma_ Love the smell of fresh cut grass., fear","['I like getting things done in the yard_comma_but I feel so dirty afterwards., fear', 'Oh no. The shower is the plus side to all the dirt I guess. I once found a snake digging a hole to plant a flower. I quit that day., sadness']"
"Finally got some yard work done _comma_ Love the smell of fresh cut grass., joy","['The grass makes me itchy_comma_ But the shower afterward feels great., neutral']"
"Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion., anger","[""Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion., anger""]"
"Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion., joy","['Nice. Did you take it?, neutral']"
"Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion., neutral","['I definitely did!, anger']"
"Got asked to my boss' office. Thought I was getting bad news but turns out I was offered a promotion., sadness","['Nice did you take it?, joy']"
"Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening., fear","['Had HELLP syndrom with first child. Spent all 9 months being pregnant with 2nd child worrying about the same thing happening., neutral', ""What is HELLP? I'm sorry you and your baby had to go through that., anger""]"
"Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening., sadness","[""It's basically when eclampsia has progressed to the point that your blood won't clot and your organs start shutting down., anger"", ""That's terrible. There are so many things to be afraid of when you're pregnant!, sadness""]"
"Had a interview yesterday. I think it went pretty well. I hope I get the job., joy","['Thank you. I did actually. The recruiter sounded pretty positive on the phone., neutral', ""That's great. Would this be a good job?, neutral""]"
"Had a interview yesterday. I think it went pretty well. I hope I get the job., neutral","['Had a interview yesterday. I think it went pretty well. I hope I get the job., joy', 'Thats good. Make sure you follow up., joy']"
"Had to wait in line forever to check out at walmart _comma_ horrible, fear","[""I don't mind those sometimes_comma_ sometimes I prefer they do it., sadness""]"
"Had to wait in line forever to check out at walmart _comma_ horrible, joy","['I hate to be tired and see a store crowded with customers and only one or two checkouts open., anger']"
"Had to wait in line forever to check out at walmart _comma_ horrible, neutral","[""Yeah it's really frustrating when they won't have more eople on. , joy"", 'Exactly. Hopefully more places will get self-checkout so we can get through the line faster. , sadness']"
"Had to wait in line forever to check out at walmart _comma_ horrible, sadness","[""Especially when it's a time of day that they know will be crowded and busy., anger""]"
"Having an existential crisis and realizing I'm going to die and there's no way to know what will happen when I do, fear","['Wow.  It had that much of an effect on you?  That it made you consider your own mortality?, joy']"
"Having an existential crisis and realizing I'm going to die and there's no way to know what will happen when I do, joy","['I recently had an existential crisis. It was awful, fear', 'Oh no.  What happened?, anger', ""Yea. I don't know why_comma_ it was the dumbest thing. I was really upset., joy"", ""Well it's good to remember your mortality_comma_ even if you have to ignore it to continue normal life., neutral""]"
"Having an existential crisis and realizing I'm going to die and there's no way to know what will happen when I do, sadness","[""I watched the new Avengers movie and a lot of people die. And I realized we're all going to die and there's no way to know what that's like. And then I felt sick for a couple days and couldn't stop thinking about it, sadness""]"
"Hillary Clinton makes me sick., joy","['Hillary Clinton makes me sick., joy', ""Oh I didn't know about that. How she is able to steal money?, joy""]"
"Hillary Clinton makes me sick., neutral","['She lies and steals money., sadness']"
"Hillary Clinton makes me sick., sadness","['Why? She seems to be nice person, fear']"
"I AM SO PROUD OF MY SON, fear","['I ma very proud of my son, sadness']"
"I AM SO PROUD OF MY SON, joy","['Aw_comma_ I be so. How old is he?, anger']"
"I AM SO PROUD OF MY SON, sadness","['he is 18 and got accepted at MIT., joy', 'Wow_comma_ congratulations! That is such an accomplishment. He must be very bright, sadness']"
"I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. , anger","['Yeah_comma_ thank you! at which situation did you feel hope for your life?, anger']"
"I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. , fear","[""Wow! you're right. We should learn from kids. , fear"", 'When i see them_comma_ i believe thiw world in which we live fill with envy and hate can be rewed, fear']"
"I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. , sadness","[""My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. , neutral"", 'Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!, fear', 'When my first daugther was born! i saw in new life_comma_ i thought everything in the world can change_comma_ we need to be pure as kids., neutral']"
"I accidentally ate a piece of cake that my mom made for my dad as a special gift_comma_ I felt pretty bad about it., fear","[""Oh no!  Well what he didn't know won't hurt him.  Hopefully you can get a replacement., sadness"", 'Unfortunately he walked in right as I took the last bite! Fortunately it all worked out so no harm done., anger', 'Awww well I am glad he was understanding about it., joy']"
"I accidentally ate a piece of cake that my mom made for my dad as a special gift_comma_ I felt pretty bad about it., sadness","['So the other day I ate a piece of cake that my mom made for my dad as a gift_comma_ oops., sadness']"
"I always donate my change when I shop at my local drug store. Makes me feel like I' doing something good., anger","['What charities do you like to give too, neutral', 'I just put all my change in a giant bottle., neutral']"
"I always donate my change when I shop at my local drug store. Makes me feel like I' doing something good., joy","['Every litlle bit counts. Eventually I will be able to write a check., neutral']"
"I always donate my change when I shop at my local drug store. Makes me feel like I' doing something good., sadness","['I like to give to charity., anger', 'Whatever my local pharmacy is giving to at the time. I donate my change since I shop there a lot. It adds up., neutral', 'That is a very nice thing to do_comma_ I wish I could do more to help., neutral']"
"I am afraid of clowns., fear","['oh gosh_comma_ me too!! especially the clown from the movie IT, sadness']"
"I am afraid of clowns., sadness","['I am afraid of clowns., sadness', 'Yes I saw that movie and cried., anger', 'i slept with a light on for a couple of night lol, anger']"
"I am afraid of heights., fear","['I am afraid of heights., fear', ""I'm not a big fan of them either.  Are you able to go up in buildings with an elevator_comma_ etc..?, joy"", 'Has it ever caused you to not be able to enjoy certain things in life?, fear']"
"I am afraid of heights., joy","['Yes_comma_ as long as I am with someone., anger']"
"I am afraid of the upcoming economic crisis in the USA, anger","['yes. I am saving all i can for when the storm comes., neutral', ""I don't get to have moments of joy in those situations., neutral""]"
"I am afraid of the upcoming economic crisis in the USA, neutral","['Good for you. And I hope you have moments of joy while you prepare for that?, fear']"
